Twitler,Durum
"trendyol deprem bolgesi icin 500 milyon tllik yatirimi erken devreye aldi
    

 ",1
 ve e son 1 yildaki kalitesiz hizmetleri nedeniyle tesekkurler sayelerinde  uygulamasinin ne kadar islevsel oldugunu fark ettim 15 yillik migros sanal market sadakatim artik bitmis oldu,1
"ben bunlari siparis vermis miyimdir
vermisimdir asik oldummmm
 ",1
surekli gelen kargolarim yuzuden amcamin  senin sayende ayakta biliyorsun dimi demesi,1
aksam dan elbise siparisi vermistim bugun ise teslimattaymis iste ben kargocunun hizli atik ve yol gozletmeyenini severim,1
thhsynkrgz fp urunu ise  dan satisa cikarsinlar alirim elite uyeyim zaten kargo masrafim da yok ohhh mis,1
"kedi annesi olan biri olarak  dan yaptigim en mantikli ve islevsel alisverisim 

 ",1
trendyol deprem seferberligi uygulamasi ihtiyaclar bitene kadar devam etsin lutfenoturdugum yerden alisveris yaparken oradaki kardeslerime de bir seyler almaya calisiyoruminsallah dogru yerlere dogru bir sekilde gidiyordur da bir yaraya merhem oluyoruzdur tesekkurler ,1
sizin amazonunuz varsa bizim de trendyol umuz var hadiiii bakiiiiimmmmm  trendyol,1
deprem bolgesinde yerel ureticiler kendi urettikleri ellerinde kalan malzemeleri satin almak hepimizin gorevlerinden olmali destegimizi eksik etmemeliyiz cunku gecimlerini saglayabilmek adina cok onemli bir katki saglayacaktir ben  dan her ay bir siparis verecegim,1
"trendyoldan surekli bildirim geliyo aradigin urunleri sen yorulma diye senin icin sectikbeni bu kadar dusunen baska kimse olmamisti
",1
 bulasik deterjani almak icin markete gittim bi anda geri dondum hemen  ve  ya baktim deprem bolgesi saticisindan ihtiyacimin fazlasini aldim arkadaslarima anlattim buyuk bizincir olduk  fazla olanlari aramizda paylasicaz ,1
"helal olsun trendyol fahis fiyat artisi yapanlara inat 
",1
 artik urun satisinda afet bolgesi saticisi diye etiketleme yapmaya baslamis bu cok guzel bi ayricalik ,1
" 
",1
"ambalaji iyi olan online ticarette kazaniyor 
            ",1
"ceyizim icin aldim henuz kullanmadim
kargo hizliydi grubu  dan defolup gider mi",1
"adi rifki dampr   ve sehrinizin kitapcilarinda satista 

var oldukca okuyun
okudukca var olun
                                  hsk ",1
" yildizli urunlerde indirimli fiyatlari kacirma  alisveris yapmak icin  
trendyol is birligi ile  
    askim  bingol  istifa  iran",1
 sen harika bir platformsun seninle calismaktan mutluluk duyuyorum   ,1
trendyol bagisi ve yaptiklari tum destekleri ender olan saglam ve icten bagislardan olmus oldu   hatay iskenderunlu bir depremzede olarak gonulden takdir ediyorum calismalarinizi ,1
o kadar cok seviyorum ki kendisini anlatamam size  trendyol iyi ki varsin ,1
"
paylasimim cok etik degil ama
deprem zamaninda sahsen de haberini aldigim
bizatihi yardimlarini cok samimi buldugum
 ile  a tesekkurler
ozellikle  cok samimi ve yardimlarini gercekci buluyorum
halka arz olsa onunla olurum",1
"trendyolun bizden bol kepce kestigi komisyonlarin 21 
bir kismini bagisladigi icin icim biraz sogudu

 ",1
  helal olsun ,1
sonuna kadar sizden alisverise devamhelal olsun  ,1
 bu donemde gercekten tebrik edilmesi gereken bir sirket oldugunu gosterdi,1
 tesekkur ediyoruz bu bagis icin,1
" tesekkur ederiz

  neredesiniz ",1
 100 milyon wav helal,1
 tesekkurler  100 milyon,1
 100 milyon tl tesekkurler ,1
"antalyadan yola cikan 3 schotterler  a devam ediyor 
3 kurye 3 gonullu 3 vatandas 3 turkiye  
helal olsun sizlere diyecek soz bulamiyor insan helal olsun   
      ",1
"hem musterisi hem saticisi olmaktan mutluluk duydum kizdigim yonleri olsa da iyi ki varsiniz 
tesekkurler ",1
"turkiyenin en buyuk eticaret pazaryerleri olan trendyol ve hepsiburada depremzedelere destek olmak icin tum imkanlarini seferber etti

          ",1
"trendyol depremzedelerin elini birakmiyor yardimlar 400 milyon lirayi asti  
 ",1
trendyol hemen siparisimi iptal edip para iadesi yapmis tesekkurler ,1
"depremzedeler icin 450 milyon tl

helal olsun size trendyol 

 ",1
"boylesine zor zamanlar da sizin gibi insanlarin varoldugunu hissetmek oyle mutlu hissettirdi ki  bazen bir urun sattigini dusunursun ama gonlu guzel insanlara dokundugunu bir mesajla fark edersin  allahim  milletimize zeval verme sen 
trendyol   ",1
 logosunu siyah yaparak bir duyarlilik ornegi gostermistir,1
tesekkurler  trendyol ,1
"amazon hepsiburada trendyolun baslattigi kampanyalari gormussunuzdur cok uygun fiyatlar var amazon henuz kullanmadim ama hepsiburadada aldigim seyler hemen ulasti trendyolda boyle uygun fiyatlar var
       ",1
trendyol  ilk gunden beri seferber oldun yardimlari ulastirdi en buyuk guclulerin yapmasi gerekeni ilk gunden beri yaptin minnettariz ,1
1 yil boyunca tum yemekmarket ve diger alisverislerimi trendyol uzerinden yapicamtesekkurler ,1
"trendyol 

yardiminiza karsilik bundan sonraki tum eticaret alisverislerimi trendyol uzerinden yaparak destek olmaya calisicam helal olsun size",1
"2727mmg2727  
 


ornek alin trendyolu",1
" 450 milyon tl yardim yapacagini duyurmushelal olsun

bu gunler gecince yardim eden etmeyen herkesi hayirlayacaz",1
 u ornek olsun size ,1
" depremzedeler icin 450 milyonl  yapacagini  acikladi
allah razi olsun 
trendyol 

    ",1
 depremzedeler icin 450milyon tl yardim yapti trendyol,1
eness_turann trendyol bundan sonra forza ,1
" depremzedeler icin 450 milyon tl bagis yapacagini duyurdu
bir cok banka ve kurulustan daha buyuk bir yardim
helal olsun size trendyol 

  ",1
trendyol adamsin    ,1
mansuryavas06   allah razi olsun,1
trendyol kullanmaya devam edicem  trendyol ,1
"helall olsun valla 
trendyol    

 ",1
antalyadan gelip sehir icinde yemek su kiyafet dagitiyorlar  helal olsun bu kardeslerimize allah omurleri boyunca dert tasa vermesin  ,1
trendyol gecmisyillarda engel koymustum simdi gordumku deprem icin elinden geleni yapiyor engeli kaldirip takip ediyorum ayrica internetten yapacagim her alis verisi artik sizden yapacagim tesekkurler ,1
deprem bolgesine yaptiginiz tum cabalariniz icin helal olsun sana tesekkurler ,1
"trendyoldan adet bolgesi icin yolladigim kargo teslim edildi diyor  
allahim insallah ihtiyac sahiplerine ulasmistir 

 ",1
mertchef26 trendyol az alisveris yapmadim senden  helal olsun size ,1
  tesekkurler   icin trendyol uzerinden de yardim yapabilirsiniz arkadaslar,1
ya mukemmelsiniz    ,1
mansuryavas06 helal olsun size yurekten   mansuryavas06 umarim tum yardim eli uzatan bunu yapabilecek diger kurumlar da katilim saglarlar,1
 rabbim razi olsun sizlerden  trendyol ,1
trendyol asla unutmayiz helal olsun         ,1
trendyol express ve tum trendyol ailesine desteklerinden dolayi cok tesekkur ederim   ,1
"hem cok buyuk yardimlar yapti hem bizim yardim edebilmemiz icin bize yardimci oldu hem simgesini siyah beyaz yapti cok kralsin trendyol
   ",1
gurur duyduk bizi yaniltmadigin icin sonsuz tesekkurler  ,1
gurur duymamak elden degil bu halk iyilikleri unutmaz umarim haber dogrudur ve kordineli bir sekilde zamaninda ihtiyac sahiplerine dagitilir  ,1
aferin ,1
sonuna kadar trendyol verdigim siparisler sonuna kadar helal olsun ,1
zlzl zonalari ucun rqmsal dstk karti        ,1
"sen sana yakisani yaptin trendyol buyuk olmak boyle bir sey simdi sirada digerleri varher dakika reklami donen firmalar sizi bekliyoruz

",1
trendyol deprem yardimlasma seferberligi sekmesinden yapacaginiz tum alisverisleri direk deprem bolgesine yolluyor  trendyol  ,1
yillardir alisveris yaparim her kurusum helal olsun     ,1
" tebrikler tesekkurler
          ",1
sana hersey helal olsun trendyol iyi ki varsin  allah razi olsun yerini kat kat doldursun,1
"trendyolda almak istediginiz ne varsa en uygun fiyattan ve kargo ucreti odemeden dogrudan deprem bolgesine gonderiliyor yardim etmek isteyen olursa tum ihtiyaclar mevcut 
 tesekkurler",1
" sitesinden alisveris yaptigim icin hic pisman degilim allah razi olsun

    ",1
trendyol arac ulasimin olmadigi yerlere yetisiyor     ,1
"gurur duyduk milletimiz adina
 ",1
az cok demeyelim lutfen yardimda bulunalim   veya  uzerinden gida giysi isitici powerbank gibi urunlerin yardimini yapabilirsiniz direkt olarak  a gonderiliyor urunler toplanip en azindan kisa mesaj ile yardim da bulunabilirsiniz ,1
trendyoldan da destek saglayabilirsiniz              ,1
trendyolun yardimlasma seferberligine hepimiz destek olalim arkadaslar ozellikle kadinlarin hijyenik ped ihtiyaclarini unutmayalim cocuklarin bezlerini mamalarini vb seyleri kolaylikla trendyol sayesinde ulastirabilirsiniz      ,1
helall olsun   ,1
"allah hepimizin yar ve yardimcisi olsun
yardimci olan vatandaslar ve kuruluslardan allah razi olsun iyiki varlar        ",1
helal olsun devletin yapamadigini yapmak budur   ,1
" yardim kampanyasi yapiyor 



    ",1
trendyol butun kalbimiz ve ictenligimiz ile sizleri tebrik ediyoruz  ,1
"arkadaslar  uygulamasi bir destek fonu acmis  ve  bunyesindebutcemize gore yardim yapabiliriz bilgilerinize sunarim iyi ve saglikli gunler dilerim
      ",1
"allah hepimizin yardimcisi olsun
gerekli olan temel ihtiyac ve arac gerecleri saglayabilecegimiz birkac uygulama
 

 
 ",1
"da deprem yardimlasma seferberligine katilip deprem bolgelerine yardiminizi ulastirabilirsiniz
alisveris yapmak icin  
trendyol is birligi ile  
  kapattilar  haluk levente  tugba",1
yardim icin  u da kullanabilirsiniz direkt afada teslim edilecekmis hem kaos cikmadan hem tertemiz yerine teslim edilecek,1
" uygulamasindan ufak capli yardimlar yapabilirsiniz 
  ",1
 tesekkurler kolaylikla elimizden geldigince yardimda bulunduk sayende    gun dayanisma birlik beraberlik gunu,1
"trendyol uygulamasindan alinan esyalsr deprem bolgesine direk gidiyormus arkadaslar bilginiz olsun
       ahbap trendyol  ",1
 uygulamasini yillardir guvenerek kullaniyorum  buradan yardimlarinizi gonderebilirsiniz diye dusunuyorum  a teslimatini sorunsuz ve kolilenmis sekilde yapacaktir evinizdeki eski kiyafetleri gondermek yerine buradan satin alarak sifir kiyafetler gonderebilirsiniz ,1
"siz de not alin 
 bundan sonra dan alisveris yapilacak nokta ",1
"arkadaslar  danda yardimda bulunabilirsinizadres degisikliginde gerek kalmadan deprem yardimlasma seferberligi olarak girince oradaki urunler alindigi takdirde direkt olarak yardim kuruluslarina teslimat saglaniyor
ayrica sanal destek kartida alabilirsiniz
 ",1
       ve daha yazamadigim bir suru insan sizler iyi ki varsiniz allah biz turk milletini devletin eline muhtac etmesin,1
"
     ",1
guvenle sizden alisveris yapiyordum size helal olsun   ,1
"helal olsun trendyol 

  

trendyol   ",1
   allah razi olsun ,1
 ile  isbirligi yapmis yardim kartlari satin aliyorsunuz komisyon alinmadan ahbapin hesabina aktariliyor ben yaptim tavsiye ederim ,1
tesekkurler  ,1
"            
 uzerinden  araciligiyla  bolgelerine yardim edebiliriz ",1
 uzerinden  guvencesiyle dijital destek karti satin alabilirsiniz az cok demeyelim destek olalim  ,1
"
 



 
 




 

saticilar indirimli satacak pazaryerleri komisyon almiycak urunler dogrudan deprem bolgelerine teslim edilecek",1
deprem bolgelerine yardimlarimiz devam ediyor kayseri icinde yorgan battaniye kiyafet yiyecek icecek yardimi yapmak isteyen herkes ulasabilir  bunyesinde ulasim saglanacaktir        ,1
"cok guzel dusunulmus  az cok demeden destek olabiliriz
  ",1
"elimizden geleni yapalim  hep birlikte basaracagiz 
       ",1
diger firmalara ornek olmasi dilegiyle     ,1
"hic bir sey yapamiyorsak destek olabilecegimiz tek yer
   ",1
"haydi destek zamani 
diger buyuk firmalardan da gelmesi lazim
tesekkurler trendyol 
  ",1
alisveris sitelerindeki deprem bolgelesine yardim kisimlari mevcut bir tane corapatkibere neye gucumuz yetiyorsa alalim  ,1
"tebrikler trendyol 

  trendyol",1
  uzerinden bu sekilde de yardimlar yapiliyor ufakta olsa yapalim      ,1
"almis oldugunuz isitici direkt deprem bolgesine gonderilmektedir sizler de bir ailenin kalbini isitabilirsiniz           
link  ",1
  bolgesi icin alisveris yapmak isteyenler icin yeni bir calisma baslatmis sanirim benim de yeni dikkatimi cekti     ,1
turkiyedeki tum is insanlarindan bu hareketi bekliyoruz  tesekkur ederiz ,1
  direkt ihtiyaclari ilgili yerlere ulastirmak icin guzel bi calisma    ,1
burcin_ttk trendyolun boyle bi hizmeti var hangi adres girili olursa olsun deprem bolgesine gonderiyo afad ile ,1
bu baglanti uzerinden deprem bolgelerine yardim edebilirsiniz siparis vereceginiz urunler adresinize gelmeyecek deprem bolgesine gidecek         trendyoldan senin icin bir urun  ,1
trendyolun anasayfasina girip cok kucuk ucretlerle deprem malzemeleri alabiliyorsunuz kendi adresinizi giriyorsunuz afad gereken yere goturuyor lutfen bebekler icin ozellikle alisveris yapin ne olur  ,1
trendyol  arkadaslar trendyol uzerinden yapacaginiz yardimlar direk deprem bolgesine gidecektir burada ihtiyaclar var ,1
herkesin ornek alabilecegi bir davranis  trendyol ,1
"trendyol ana sayfada siyah yazili kisma tikladiginizda ihtiyaca yonelik secilmis urunleri satin alabilirsiniz direkt olarak afada gonderilerek deprem bolgelerine gonderiliyor
   ",1
a nakdi yardim yapabilir belediyelerin yardim seferberligine katilabilir  ve un ozel afet marketlerinden temel malzeme siparisi verip afet bolgesine ulastirabilirsiniz,1
" tesekkurler

iyiki kargo subelerinizin kurulumunda calismisim ",1
  trendyoldan dev yardim diger alisveris sitelerinden de ayni sekilde yardim bekliyoruz paranizi reklama degil depremzedelere harcayin gun birlik gunu ,1
yardim yapmak isteyenler burdan kolayca yapabilirler   ,1
trendyol bana hisse vermeli ben onun bagimlisiyim ,1
sevdiklerinize ozel hediye kutusu siparis icin  ig cingozmarket           ,1
trendyol yapilmayani yapti iade eziyetine son veren uygulamayi baslatti iste detaylar    ,1
"bayilacaksiniz tadina   
dan senin icin bir urun  ",1
yapamiyorsan bu isi ahlakinla kapat firmani mng kargo  isine gelmeyince subeden teslim yapmak nedir ya eve teslim etmek zorundasin veriyorsunuz boyle sirkete magdur ediyorsunuz insani  trendyol mngkargo  ,1
" buyuk kis indiriminden yararlan alisverisin keyfini cikar  
alisveris yapmak icin  
trendyol is birligi ile  
    mert  kalp",1
"alisverisin keyfini cikarmak istiyorsan hemen  a gelindirimli alisveris yapmak icin  
trendyol is birligi ile  
    melisa  pala  beren saat",1
trendyolda onlarca marka ve yuzlerce urun buyuk kis indirimine girdi iste ocak 2023 fiyat listesi   ,1
moralim bozuk oldugunda a  girip deli gibi alisveris yapip hop modumu yakaliyorum ,1
"aksam indirimi ile geldiim favoriye aldiginiz urunlerinize bakin indirimli fiyatlari kacirmayin
alisveris yapmak icin  
trendyol is birligi ile  
   adana  ogretmen  sinan ates",1
"siparisiniz hediye kutusu ve paketi ile birlikte ozenle hazirlanarak gonderilmektedir 

bu tarz senin icin 

  ",1
trendyoldestek trendyol  ve ekibine tesekkur ederim acilan talepleri okuyup degerlendirerek gerekli destegi veriyorlar 5 aydir en ufak bir sorun yasamadim  da gordugunuz gibi satistaki urunum kilitlendi diyorum siparis numarasi istiyorlar derdinizi anlatabilmeniz cok zor,1
" indirimleri baslamis   



 ",1
"her saat yenilenen  kampanyalarina goz at
alisveris yapmak icin  
trendyol is birligi ile  
    ",1
"guvelinir alisveris siteleri 



        ",1
trendyol sanki evimin ic sesi gibi surekli  bunu kesin alman lazim diyor ve aliyorum napimm en buyuk zaafim affet kocam ,1
"bershka muadili tasli canta 55lye dustu kosunn 
        

 ",1
"unutulmaz bir lezzet deneyimi icin herkesi bekleriz

      ",1
"aksam indiriminin bu kadari  guncel kampanyalara goz atin indirimli alisverisi kacirmayinalisveris yapmak icin  
trendyol is birligi ile  
  hadise  adana  doktor  adriana lima",1
"yilbasina ozel rgb serit led kampanyasi trendyolda basladi indirimli son gunler kacirmayin



       ",1
"      

cilgin cig kofte partisine kimler geliyor ",1
"birbirinden guzel kiliflarin oldugu bir link birakiyorum bu benim kullandigim seffaf kilifi da ekledim cok kaliteli mutlaka bir bakin 



  ",1
"trendyol magazamda son 30 gunun en dusuk fiyatlariyla  kampanyasi devam ediyor  miniklerine hediye almak isteyen anneler babalar teyzeler halalar magazama bekliyorum 
 linke tiklamaniz yeterli 
  ",1
"isini askla yapanlar icin gelsin bu post
sizin icin paketlerimizi sevgiyle hazirliyoruz bizim icin her siparis ayri heyecan



          ",1
uyku sorunumu halletmek icin  dan aldim bugun elime gecti 1 tane attim acaip ise yaradi aksam aksam uykum geldi gidip yatasim var bu saatte  ,1
"yilbasi hediyesi almanin tam sirasi birbirinden guzel indirimli  urunlerine goz atin alisveris yapmak icin  
trendyol is birligi ile  
  dolar  mujde  ozledim  kirmizi  italya",1
"trendyol siparislerinizin garanti sureclerini egaranti ile senkronize tutun 

trendyol uzerinden aldiginiz siparisler egarantiye hizlica aktarilir ve otomatik olarak elektronik garanti belgesine donusturulur  trendyolcom

   ",1
"   

trendyol yemekte yuzde 40a varan indirim ve yedikce indirim firsatini kacirmayin ",1
"haydi sende hemen a gel indirimlerin tadini cikart 
alisveris yapmak icin  
trendyol is birligi ile  
  gulsen  ayse  simge  konya  haram",1
"cok tatlis seyler ekledim koleksiyonuma mutlaka bir bakin derim 



  ",1
" indirimleri hala devam ediyorken kacirma alisveris yapmak icin  
acele et
trendyol is birligi ile  
  tugce  yilbasi  ahmet hakan",1
ufak dokunuslarla hayatinizi renklendirin           ,1
yardim etmek isteyen arkadaslar  uzerinden bu destek kartlarindan satin alabilirler   ,1
"tesekkurler  

    ",1
hergun gelen kargolardan dolayi mudurle iddiaya girdim bir ay siparis vermeyecegim dedim cok pismanim affet beni   uygulamayi 1ay silmem gerekiyor,1
"yaptigimiz is oyle bir is ki inanin cok mutlu ediyor bu dokunuslar sayesinde ilk once kursiyerim sonra hanesinin sonra da ulkemizin deger kazandigini gorunce cok mutlu oluyorum birlikte basarilara imza atmaya devam 

     ",1
eve bardak almaktan helak oldum her aldigimda da bu artik son gercekten koyucak yerim kalmadi diyip 741542985 tane daha bardak aliyorum az once 3 tane daha aldim neyse salondan koltuklari cikaricaz mecbur ,1
"boyle fiyat gorulmedi  hemen  a gel indirimlerden yararlan
alisveris yapmak icin  
trendyol is birligi ile  
  iphone  tugce  sahsu  akrep  ",1
esinizin veya sevgilinizin size daha cok cok deger vermesini istiyorsaniz bu parfumu mutlaka alinn    ,1
"
   ",1
trendyol yapilmayani yapti iade eziyetine son veren uygulamayi baslatti iste detaylar   ,1
"kendi uretimimiz baklavalarimizda ici bol antep fistikli sade yagli bol kaymakli cesitlerimize asik olacaksiniz 

           ",1
1662812272 nolu siparis sahibiyim ama sizden ne cektim beeee  yollamissin sahte kulakligi bana bozulmus calismiyor  noyok  noda olmadigi icin xiaomi tamir etmiyor iade etmisim tekrar size  10 gundur urun kontrol ediliyor diye beni magdur ettin   ,0
siz iadeler icin bir calisma yapmazsaniz keyfi iadeler saticilar olarak bize kulfet olacak ve trendyol da satici olmayi birakacagiz trendyol trendyoldestek   ,0
enayi finansal koleyim somurmek isteyen yazabilir   ,0
click on  more fact       ,0
 sayesinde asla ama asla para biriktiremiyorum ,0
" batagina dustum yine almayacagim bir suru seyi favladim 
  gibi ne gozumu alabildim ne de goze alabiliyorum ",0
"trendyol go dan siparis veriyorum
dondurulmus kunefe 250 gr  2795 tl

gelen 175 gr  4595 tl 

sonrasinda bakiyorum siparis 300 tl diyor ama kartimdan 250 cekilmis diyor 
fiyat ve gramaj farklari asagidaki gorsellerdedir
  
trendyoldestek ",0
ucretini pesin odedigim kurumsal musterisi oldugum trendyol tarafindan satici fatura kesmedigi icin urunleri iade et etmem soylendiiade ettigim satici da iade suresi gectigi icin urunleri red etti  bu musteri magduriyetine kim son vericek yazik  ,0
trendyoldestek trendyol ,0
 kargo ucretini kaldirsin,0
  5 nisanda kargoya verilen urun nasil teslim edilmez ki saticinin ne sucu gunahi var urunu alip neden ayni yerde bekletiyorsunuz,0
en delirdigim sey firmalarin sirf insanlar kendini sisko hissetmesin diye beden araliklarini degistirmeleri s beden adi ustune kucuk insanlar icindir 156 boy60 kilo olup 5 aylik hamile birine small bedenin olmamasi lazim artik ya  biz napalim bebek reyondan mi alalim ,0
trendyol kanka cok buyuk bi indirim degil mi bu zararina satislara basladiniz herhalde  ,0
 kuzey isiklari tarafindan hatali ve eksik gonderilen urun degil musterinin o acmis olmasi daha buyuk hata zaten satici tarafindan yapilanin bilincli bir hareket oldugu iletiliyor ozru kabahatlerinden buyuk ,0
 da kuzey isiklari adli satici yanlis urun gonderiyor bambaska bir urun ve farkli gramaj urun hediye oldugu ve ilk etapta fark edilmedigi icin aciliyor e acilan urunun iadesi olmadigi icin tuketici suclaniyor bir ozur veya telafi yok,0
bir pazaryeri sitesi dusunun kendisine komisyon veren saticilar 100 lira uzerinde ucretsiz kargo ile gonderirken kendisi ucretsiz kargo imkani sunmuyor ustelik kendi kargo firmasi da var trendyol saticilardan fakir misin niye ucretsiz gondermiyorsun   ,0
 milli piyango idaresi ile yapiliyormus yani enayi gibi bilet almayin cikmaz,0
    trendyol trendyoldestek arkadaslar bugun yeri bir sacmalik ogrendim konum ve adres bilgileri uyusmadigi icin siparisimizi iptal edip sonrasinda trendyol bu siparisteki ucreti iade yapmiyormus ve suan paramiz gasp edilmis durumda konu thhde,0
 da urune gelen tek kotu yoruma karsi ben ,0
trendyol carrefoursa tarafindan dolandirildim bundan sonra bunu her sosyal medya hesabinizin altina yazacagim herkes bilsin    ,0
"ne transfermis be
ankaradan kocaeliye gunlerdir siparislerim gelemedi
yuruyerek bile getirilse simdiye kadar elimdeydi
trendyol expres hizi diye bir gercek vardi eskiden fakat son 2 siparisimden sonra sana puanim 0
trendyol   ",0
cevap vermediginde yazismayi sonlandiran canli desteginiz var  ,0
" da gordum simdi 
arac 16 milyon l
500k bilet x7l 35 milyon l
isin asil kumar tarafi milli piyango idaresinde yapilacakmis tupcunun yerinde 
trendyol tam bir dolandirici cikti sakin boyle seylere katilmayin yazik paraniza ",0
  aldigim sozde waterproof urunu ilk giymemde su aldi aksamina iade talebinde bulundum incelemeye alindi ve talebim reddedildi simdi soru su bot ne zaman giyilir kuru havada mi  waterproof ne demektir trendyoldestek,0
  aldigim sozde waterproof urunu ilk giymemde su aldi aksamina iade talebinde bulundum incelemeye alindi ve talebim reddedildi simdi soru su bot ne zaman giyilir kuru havada mi  waterproof ne demektir,0
"trendyolda her turlu atm karti ile alis veris edebilen musterisini sadec hizli markette 2 banka kartina zorlayan kampanya sayesinde musteri kaptiran trendyol iki bankaya 10 tl verme icin 1000tl cirodan oltebrikler mal marketing ekibi
 


",0
trendyoldestek 2402357919 teslimat no umarim gercekten duzeltirsiniz bir ay oldu  artik  mail atim  canli destek ile defalarca gorustum hic bir cozum yokk malesef hep talep olusturluyor ama sonuc  yokrezalet ,0
"trendyolda 60 gun boyunca sabit 40 komisyon indirimi kazanmak

ayni vergi numarasiyla 3 magaza acmak kendi tecrubelerimizle avantajlar ve tuyolar


        ",0
trendyol  bu mesaj trendyol mesaj geldi bu mesaj tamamen dolandiricilik amacli bir mesajdir sakin tiklamayin   ,0
"bu linke sakin tiklamayin bugun trendyol ismini kullanarak milyonlarca kisiye gonderilen mesaj dolandiricilarin oyunu cikti

 ",0
bekledigim yetmezmis gibi aradigimda bir islem yapamiyoruz lafini duyuyorumsizin yuzunuzden odedigim ucretler neden bana magal ediliyorelimde urun yok yenisini aldigimda ayni fiyattan alamiyorumgereksiz yere taksitlendirme icin faizodemek zorunda kaliyorum trendyol ,0
trendyol neler oluyor aciklama yapar misiniz   ,0
"neyse gunun son rutini trendyol turunu yapip gunu kapatiyorum
",0
trendyol bahis sitesine donmus bilet aldirip farkli hediyelerle cekilise sokuyo benim de bi alasim gelmedi degil hediyeler bayaa iyi   ,0
 iade kargomu cumartesi almasi gerekip kodu iptal eden sacma sistem bu son alisverisim ,0
 ne zaman elbise yada bluz arasam ya crop  yada miniminnacik elbiseler goruyorum artik daha normal sokakta giyebilecegimiz seyler gorsek diyorum,0
 express 6 marttan beri kargomu kaybetti akibetinden de bilgi vermiyorlar rezalet,0
trendyoldan yemek soyledim yemek baska yere gitmis teslim edildi diyor ne yani ben mi gidip yemegin pesine dusucem trendyol  ,0
" 

      ",0
yazik cok yazik bu ulkede para kazanip bu ulkenin insanini ezmeye calismak cok yazik hayatimdan  diye bir olguyu cikarmis bulunmaktayim cok huzurluymus tavsiye ederim,0
notumu gordugunuzde beni aramaliydiniz simdi siparisi gotururseniz soguk soguk yenmez bunlar iftarda dedim tamam siparisinizi iptal edelim ama paraniz yanar dediler ofisteydik arkadaslarla konustum baktim herkesin bir  yemek siparisi husran hikayesi var,0
iftara bir bucuk saat kadar kala aradilar  dan siparisiniz yola cikti diye siparisin altina yazdigim notumu hatirlattim bilgisayar akisi gibi cumleler kurdular surekli meliha hanim ve sonrasinda merve hanim ustunuze baglayin dedim olmadi,0
 dan bir daha yemek siparisi vermek mi asla butun hukukumu butun alisverisimi kestim gitti vesselam neden mi adeta cinden turkiyeye uzanan bir dolandiricilik zinciri,0
" trendyoldestek merhaba secim sirasinda 1 hamburger secilemedigi icin hamburgerim eksik geldi sistemselhatanizi duzeltirsiniz umarim baskalari da magdur olmasin
siparis no  trendyol popeyestr   ",0
" sansli cekilis batagina dustum hicbirsey de cikmiyor

 ",0
trendyoldan sepete attigim urunu alirken islemim devam ettigi esnada urunu cikarip on saniyede iki kati fiyat eklediler saka gibi  ,0
iade etmenizi anlayisla karsilayabilirim ancak vazgectim demek bir iade sebebi olmamali bu urunun gidis ve donus olarak kargo parasini satici olarak karsilamaktayiz trendyol buna bir duzenleme getirmeli  ,0
icim parcalandi  allahim sabir ver   ,0
neler oluyor oyle  trendyol   magazamiz sizlerin hizmetindedir ,0
