Twitler,Durum
ben indirimden kasit 2030 liralik kazak hayal ediyordum ama  ,0
trendyolda bir ay once 50 tlye aldigim elbise 108 tl olmus efsane indirim gercekten ,0
lutfen birisi kenan doguluya gomlek ve sapka kombinin hic yakismadigini soyleyebilir mi zaman zaman hep ayni tarzda karsima cikiyor da aslinda karizma adam ,0
gozlerim kanadi be trendyol hicbir sey de indirimde degil gibi ayip be vallahi ayip  ,0
sen kalk hic usenmeden 200l olan montu 500l den 300l ye dusur bunu buyuk indirim gunleri diye millete duyur yapmasaydin  boyle sakalara gerek yok,0
ya bisey sorucam trendyol cidden nerede indirim tam olarak baktigim herseyin fiyati artmista hatta 7990 lik kazak suan 11990 dan 8990 a inmis bana ozel bir uygulama mi cidden soruyorum sadece   olmus bu ,0
yalniz trendyol indirim olmadan once daha indirimliymis ,0
trendyol da ayni urun nasil bu kadar farkli fiyata satilir reklamlara bu kadar para harcayacaginiza sozunu ettiginiz indirim icin butce ayirsaydiniz iki gun once aldigim urun simdi daha pahali ticari ahlakiniz ortada      ,0
trendyolda indirim var demek yerine soygun var demek daha dogru olur ayni urun uretici firmada 27990tl iken  da 599tl  kaniti       ,0
trendyol vallahi param bitti yeter ,0
 kaydedeme aninda donus var     aninda donus var    ,0
trendyolun bu agresif ve israrci pri cok can sikmaya basladi ,0
su indirim bitene kadar internetsiz falan kalmam gerek ,0
simdi de 2879l olmus hosgeldin indirim ,0
aldigim urunlerin indirime girdigi almaya niyetlendiklerimin de nerdeyse daha pahalandigi  indirimleri olmus  ,0
normalde 6 kasimda l724 olan saatimizi muhtesem kasimda duser diye beklemeye aliyoruz ve 8 kasimda l924 olup 9 kasimda indirimde diye l739 oluyor ne kadar da guzel bir indirim  ,0
trendyol muge anliyi bile ele gecirmis ,0
bu sefer  tuzagina dusmeyecegim ,0
her yerde  reklami gormekten daraldim bi ben kaldim herhalde alisveris yapmayan,0
bana iade kodu gonderiyorsunuz elime ulasmayan bir urunu ben nasil iade edebilirim acaba bu soruma yanit verecek misiniz kargo sirketleri icin kargo ucretini kesiyorsunuz ama is urunu teslim etmeye gelince kimse ortada yok gercekten  ve  pismanliktir,0
indirim falan yok kaziklanmaya devam ,0
normalde 100 tl olan bir urun trendyolda 150 tlden 120 tlye dusmus   ,0
91011 kasim trenyolun indirim temali hicbirseyine hosgeldinizyapma trenyol o kadar reklam bosuna miydi ya ,0
"bu telefonum on arka kapak kirildi960 tlkasa yamuk 160 tl yeni kasko 245 tl derken yeniledimsu ilanda 0 ini gormek bu fiyata 2300


",0
 senden bidaha bise almam o kadar indirim cigirtkanligi yaptin favorilerime ekledgim urunleri kaldirdin niye fiyati yukseltik sozde indirim yapcn dimi yemezler kocum,0
 reklam politikasini acilen degistirmesi gerek sanki ulkedeki tek firma ve tv telefon sosyal medya uygulamalar ele gecirilmis de beynimize vura vura kazinmak isteniyor gibi her yerde trendyol gormekten midem bulaniyor artik reklam degil zorbalik taciz resmen,0
nakrufrimed trendyol gunde 5bin tane indirim reklami yapmak yerine oncelikli islerini yapsalar keske trendyol ,0
trendyolda indirim var millet alisveris cilgini olmus arkadas bu nedir ya  bir seye bakalim dedik sayfaya giremiyoruz   ,0
trendyol da 2 sweat begendim indirimden once 77tl trendyol indirimiyle 89tl ,0
ulan iyice dolandiricisiniz 4 urun koydum sepete 80 tl tutmasi lazim 170 tl yaziyor onayla tusuna bassam aninda gecireceksiniz kazigi ayrica karti da onaylamiyor neymis efendim kayitli kartla alisveris yapamazmisim size ozel kart mi cikaralim dingiller ,0
20 liralik mali 50 den 30 a satmanin adi kasim indirimi her yerde link gormekten bayginlik geldi bitsin artik su cilgin alisverisiniz    ,0
var olan indirimin uzerine bindirip tekrar indirim yapmissiniz guyaaa her gun takip ettigim urunler artmis ama indirimli ilginc 9_12 kasim  ,0
indirim gunlerinde iki gun once favoriledigim urune 100 lira zam gelmis sazanavi ,0
trendyol uygulamasi  kredi kartini doldurma sebebin ,0
 para yok paraaaa bi sal ya,0
trendyolda indirimden once sepete 3 urun ekledim 180l tutuyordu buyuk indirim basladiktan sonra 200l oldu ,0
efsane kasimmis indirimmis mis mis hihii inandik ,0
hep hayal kirikligisin ,0
enis arikan  danla amp cemal can kubilay aka  burcu esmersoy ve kenan dogulunun bukadar az bir indirim icin toplandigina inanamiyorum ,0
indirim falan yok bekledigim urunlerin hepsine firsat urunu etiketi basmissiniz ama fiyat ayni kim yerse iste  ,0
ulkenin ekonomi bakani istifa ediyor  mansette  reklami yapiyor dolar en sert dususunu yapiyor  yesilcam jonu basin ozgurdu hani  ,0
 a dustum gibi hayirlisi ,0
30 liraya 1 hafta once aldigim mdf tabloyu 37 liraya satip 120 liradan dusmus gibi yapan sahtekara  denir arkadaslar hicbir seyde indirim yok kanmayin ,0
gene dustuk  batagina,0
iki gun once arkadasimin aldigi urun kampanya baslayinca 100 tl fark koyularak satiliyor  bu nasil firsat  bu indirme degil bindirme  ayip bee  trendyol    ,0
3 hafta once 39 tl ye aldigimiz urun simdi ozel kampanyayla 69 tl olmus sen anca cahil insanlari kandirirsin ,0
son birkac gundur youtube da ki tum reklamlar trendyoldu simdide hepsiburada reklam veriyor bunlar youtube ortsk mi oldular bu nasil reklamcilik anlamadim d    ,0
 indirimlerinden sizde yararlandiniz mi hahahaha firsatcilik ektedir yazik ,0
gunlerdir midemizi bulandiran trendyol indirimlerine bakiyorum sonuc koca bir fiyasko urunun fiyatini sisirip 2 kez ustunu cizince adi indirim olmuyor maalesef ,0
herkes ac gibi trendyoldan alisveris yapmis omrunuzde hic mi gormediniz kiyafet kardesim neyi begendiysem bedeni kalmamis 24 saat gecmeden tuketmissiniz ,0
trendyol reklamlarindan kusacagimmsjlardan kusacagimyeter yav dun aksamdan beri 5 msj geldi girdigim her sitede reklami cikiyor gosterme diyorsun baska versiyonu cikiyor delirecegim ,0
"trendyol  indirim yapip yapmamanizi gectim onlarca bilinmedik sacma sapan firma soktunuz siteye giresim gelmiyor artik dusurmeseniz mi acaba kalitenizi 
",0
bu  da yirtik dondan cikar gibi her yerde bizi taciz ede ede aldigi paralari unlulere guzel yedirmis,0
karti sifirlamisim sen hala gelmis bana diyorsun ki trendyolda efsane gunler daha ne alayim ne istiyorsun ,0
indirim olmadan 200 e aldigim mont indirim olunca 225 olmus tesekkurler trendyol ,0
emsanin kendi sitesinde urun 59tlden 39tlye duserken trendyol da 69tlden 49tlye dusmus sebebi nedir trendyol bu nasil bir indirim    ,0
reklam parasi yerine adam akilli indirim yapsaydiniz keske elbise 99 tl idi simdi indirimli 101 tl cikiyor sacmalik  trendyol ,0
surekli yukari kaydir yapip link hazirlayan unlulerden midem bulaniyor     ,0
"240 tl olan takibe aldigim urun  buyyyyukkkk indiriminde 280 tl olmus
hemen almaliyim  trendyol",0
 bir bana mi taksit yaptirmiyor canli destektekiler butik izin vermiyordur diyor karisik butiklerden trendyol urunleri de dahil olmak uzere sepete ekledim nasil taksit olmaz tek tek alayim dedim yine trendyol urunlerine dahi taksit yapamiyorum sacmalik,0
magazada calistigim yillarda patronumuz indirim yapacagi zaman etiket fiyatini ikiye katlayip 50 indirim yapardi ayni hesap  yine inandik ,0
urunlerde indirim var da isin icine kargo girince ayni fiyata geliyo ne anladim bu isten ben ,0
"ctesi gunu karacanin kendi magazasindan sordugum 299tl degerinde ki tencere seti suan trendyolda 30 indirimle 330tl 
kanmayin arkadaslar yanarsiniz 
",0
yeni sezonda indirim yok eski sezon zaten indirimdeydi yemezlerrr ,0
"20 liralik bir urun 50 liradan 30 liraya dusmus 
muhtesem kasim indirimleri 
",0
"3 gun once  dan market ve diger sitelerden daha uygun oldugu icin cocugun aylik bez alisverisini yaptim 213tlbiraz once mesaj geldi  basladidedim bi bakayim ne kadara dustu bez 225 tl cikmisgercekten insanlari kandirmaya gerek var mi
",0
dersin icinde de reklam yapmazsin be  ,0
normalde 20 tl olan sey trendyol da 50 tl den 30 tl ye dusmus kosun kosun ,0
 2 haftadir 119 lira olan urunu super indirim gunlerinde 133 olarak guncellemis,0
28 ekimden beri kargomu teslim edemeyip teslimat subesi ile transfer merkezi arasinda gezdiren  ve trendyol a kocaman bir alkis lutfen gelecek olan urun gida oldugu icin coktan bozulmustur bunu kim telafi edecek simdi ,0
kasim ayi alisveris indirim cilginligi reklamlarina maruz kaldik mantikli alisveris icin ne almali   ,0
"normalde 20 tl olan bir sey trendyolda 50 tlden 30 tlye dusmus
 
",0
 yine sasirtmadin fiyatlari sisirip buyuk indirim var diye kendi fiyatlarina tekrar satiyorsunuz bravo ,0
 10 kasimda indirim baslayacak dediniz favoride olan urunlerimin hepsinin fiyatlari cikmis nasil indirim bu ,0
yine dustuk ,0
"trendyol bursum yok sal beni
",0
hepsi burada reklamlari sizce de trendyol reklamlarina benzemiyor mu  ,0
dun favorilerime ekledigim 50l lik urun bugun bakiyorum 8990 l olmus guzel denemeydi bravo  ,0
 ne zaman indirim yapacam derse bilin ki fiyatlar 100 tl artacak 13590 tle aldigim urun bugun ki indirim ile 22390 tl ,0
"trendyol da sepete ekledigim urunlerin fiyatlari sihirli bir sekilde artmis ee hani super indirim gunleri
",0
"trendyol 

iste bu sahtekarlik 

neredeyse 10 gun kadar once ayni ayakkabiyi 339 tl den aldim bugun efsanemuthis ve hatta yuce kampanyanizda 45435 tl  

ticaret bakanlik gercekten ne ise yariyor bu manipulasyon degil mibu kandirmak degil mi ",0
3 gun once 12685 tlye aldigimiz ayakkabi suan da 911 kasim indirimi diye  23225 tlye satiliyor  indirim ayagina herkesi opmeye bayiliyorsunuz  ,0
ya instagramda  linki gormekten sadece bana mi fenalik geldi polyester urune cok sicak tutuyor harika muhtesem diyen influencer ne kadar influencerdir niye ben ondan influence olayim ki kiz story ceke ceke yalan soyluyor,0
ben pek bi indirime sahit olamadim ama ,0
hayatta daha onemli seyler varken bilboard karda dahi reklamlarla insanlari kandirdi secilmis markalarda indirim varaciklama yapilmali trendyol ,0
__beriss  da 912 kasim indirimi sadece belirli markalarda indirim var bir satis hilesi kokusu seziyorum insanlari trendyol da gunlerce gezindi  ,0
 da 912 kasim indirimi sadece belirli markalarda indirim var bir satis hilesi kokusu seziyorum insanlari trendyol da gunlerce gezindi   trendyol,0
 da indirim vakti deyip 12 saat icinde fiyati 10 lira yukseltmisler  inanmayin beee,0
ya trendyol reklamindan kusucam artik yeter durdur artik bu teroru  sirf bu yuzden alisveris yapmiycam senden,0
un basina damat geldi galibadolar gibi fiyatlar arttikca atmis,0
 batagina dusmeyen hayatta kalir,0
"indirim gununden once ve sonra
bunun adi ahlaksizlik dolandiricilik
ani fiyat yukselisleri icin sorusturma acilmasi lazim
 ",0
dun 209 l den favoriledigimiz mont indirimle 279 olmus bir kere de sasirtin ya ,0
trendyol 20 gundur iademin ucretini yatirmadi   her iletisimde islem onceligine alindi diyorsunuz ama daha parayi  hesabimda goremedim trendyol  ,0
deli gibi reklamini yaptigin indirim tam olarak nerde  fiyatlari sisirip dusurmussun sonra indirim,0
daneriyirs ayni seyi ben de yasadim indirim gunleri tam bir safsata ,0
"trendyol ve lcw reklamlarindan kurtulmak icin ne yapmak gerek bilen varsa soylesinalacagim varsa da almiyorum inadimdan yeter yahutrendyol lcwaikiki 
",0
su batakliga cidden dusen var mi ya 120tllik ururunu 170e cikartip 130 dusurup buyuk indirim var diyorlar ahshjs  ,0
yine cigeri teslim ettik ,0
sweatshirt zaten 80 tl di ne zaman 145 tl den 80e dustu  kimi yiyonuz ,0
muthis  indirimi dediginiz bu mu yani  bunun icin mi bu kadar para harcayip reklam yapti yaptik deyip yapmadiginiz indirimlerle insanlari gulduruyorsunuz,0
maas bitti ,0
 da indirim var diye o kadar reklam yaptilar begendigim urunler daha da pahalilasmis bu nasil buyuk indirim aq,0
 linklere tiklamadan instada gezmeye calisiyorum cok  zorlu bi parkurdan geciyorum ,0
interneti basimiza yiktin indirim indirim diye nerde hani ,0
ayin 9 una kadar alacagim isitici icin trendyolun kasim indirimini bekledim sonra bir baktim ki zaten liste fiyati 850 olan urunu 1100 tl ye cikartip tekrar 850 ye indirdiklerini gordum ulan ne kekliyorsunuz milleti be cark kurnazi  ,0
begendigim hicbir urunde tek bir lira dahi indirim yok tesekkurler  ,0
bataga dustum ,0
trendyolda buyuk kasim indirimi baslamis ama bilin bakalim ne eksik ,0
"evet trendyol efsane kasim indirimiyle yikiliyor evet

hersey yuzde 40 yuzde 50 inmis evet

ama benim favori sweatshirtum bir lira bile inmemis evet

cunku sansima tukureyim evet

",0
butun vanslari tuketmisler buyuk kasim indirimi maceramiz buraya kadarmis be  ,0
trendyol 50 liralik urunu 100 liraya cikartiyor sonra indirimde 80 liraya dusuruyor biz de keriz gibi aliyoruz ,0
uzulme param bende bittim ,0
fiyatlarla oynuyorsunuz cok ondan oluyor arttir sonra indir arttir sonra indir dayanmadi coktu site ansshsjajsja  ,0
trendyol indirim nerede 2 gun once  71 tl den aldigim urunu indirim girince arkadasima da alacaktim suan fiyati 78 tl olmus ayni sekilde bir kac bekledigim urunde resmen yalan ,0
 cum zaten iki kurus indirim yapiyon ondada coktun,0
e benim hic bi favori urunum indirime girmedi  ,0
pandeminin baslangic zamaninda makarnayi fais fiyatdan satanlar simdi indirim baslatmasi   ,0
gecen hafta baktigim urunun normal fiyati 45 tl bugun indirimle 45 olmus gibi gosteriliyor gercek bir trendyol kullanicisi bu indirime inanmaz ,0
trendyol indirim falan yapmamis,0
 ayni urunden bir siparis vermek istedim nir ay once 115 e aldigim urun super firtsatta 140 liraya inmis  ,0
ben ortada indirim diye bir sey goremedim normalde de indirimde olan urunlere firsat urunu damgasi vurulmus   ,0
o kadar cok  reklami gordum duydum ki inadina bakmiyorum artik,0
  indirimden once sepete ekledigim urun 175l iken  indirim saati gelince 206l oldu indirimli hali yersen,0
"lan ne ara tukettiniz herseyi  
sepetim bombos cildiricam
 ",0
" trendyol

indirim indirim diye reklam yapip durdunuz indirim falan yok 
yuklesenize indirim kuponlarini insanlar istedikleri gibi ozgurce alisveris yapsin neyi almak istiyorsa onu alsin 
ne kupon var ne indirim var
sizinkisi sadece reklam
sildim uygulamayi ",0
" indirim adi altinda bindirim olayina bir ben katilmadim herhalde nasil deli gibi alisverise devam mi millet 

",0
gunlerdir  indirimini bekliyordum 4960 liralik urun bu sabah 545043l olmus bu buyuk indirimi acilayabilir misiniz lutfen  trendyol,0
 fiyata zam yapip normal fiyatina indirim yapilmis gibi ayni fiyata satiyor,0
begendigim urunu sepete atip direkt yorumlarda kotu iade ettim diye yorum ariyorum ve sepeti komple siliyorum ve uygulamadan cikiyorum esimi yine mutlu ettigim bir alisverisin sonuna geliyorum ,0
 param kalmadi sal yakami,0
tam olarak neyin fiyatini indirdiniz acaba ben bir sey goremedim ,0
"30 liralik urun 100 liradan 70e dusmus gidip hemen alayim da kapitalist sistemin kolesi oldugumu herkese sosyal medyada gostereyim ne de olsa devir gosteris devri asla geri kalmamaliyim sonra namazimi kilar allaha fakirlere yardim etmesi icin dua ederim

",0
 batagina beni ceken canim esim nar tanem nur tanem aysegulkocak33 sevgiler saygilar,0
"
super indirim vaadiyle musterisini kandiran online alisveris siteleri robert bosch dan size mesaj var musterilerimin guvenini kaybetmektense para kaybetmeyi tercih ederim robert bosch

",0
yalanci trendyol ,0
trendyoldaki super indirimi farkedemeyen sadece ben miyim  ,0
2 gun omce 108 liraya favladigim bot simdi 50 indirimle 113 tlye dusmus ,0
"trendyolda indirim olduguna inanan var mi
mangonun magazasinda indirimsiz hali 600 lira olan montu indirimde 600 liraya satiyorlar zaten 15mis gunlerdir reklami yapilan indirim onu bile vermiyorlar
",0
neredeyse tum unlulerin reklamlarinda oynuyarak ve swipe up yaptirarak hunharca para kazandigi yalandan indirimlerin magduru olmayin lutfen harcamayinnn harcatmayinnn kendiniziiii   ,0
dun 176tl olan bilekligi favorilere ekledim ve trendyol indirim gunlerinde 190tl olmus  keske indirimi beklemeden alsaydim  trendyol    ,0
 yine yapmis indirimini sagolasin nasil bir bindirim bu anlamadik yine yaniltmadin ,0
her yerde gormekten gozlerimizden kan gelinceye ve ogure ogure kusma hissi oluncaya kadar  kesinlikle sosyal medyada bloklamakla da bas edemeyecegimiz  indirim gunleri baslamis trendyol,0
 indirim gunuymus baktim indirime gormeden daha ucuz olan urune 3 fiyat yazmislar ustleriniz cizmisler sepete indirim demisler  gece haftaki fiyatinin 10 15 ustune indirim diye satiyorlar bunlari denetleyen kimsede yok,0
para mi var millette trendyol bi sal bizi yaa ,0
 anladik aslanim en ucuz sensin sal bizi,0
sepete 10l olarak ekledigim urun bu sabah 1780 olmus vay efsane indirimler vay saatlik indirim galiba ,0
"hani bu   indirim gunuydu 2 gun once eklediklerim 15 seyden sadece 1 tanesinin fiyati artmamis yaziklar olsun 
 
",0
"sepete ekledigimde urunler bu kadar pahali degildi la
normal fiyatinin ustunde yazmislar ve indirim diye gecirecekler 
",0
  tamam efsane reklam verdiniz super indirimler bla bla ama icerik degissin biraz hep ayni urunler 20 tl dusuyor 25 tl artiyor sikti aralik ayinda baska birseyler yapin taaaam mi,0
912 kasim kampanyasina girmis gibi degil de sanki kampanya bana neyse konusmak istemiyorum yine ac kaldik tesekkurler ,0
bu kasim indirimlerini hic yapmasaydiniz fiyatlar cok daha iyiydi  ,0
milletin karsisina trendyol reklami cikar benim karsima yemek sepeti reklami cikiyor tweet bu kadar ,0
super efsane muhtesem kasim indirimi 2021 kasimda falan mi ,0
indirimden once 59 liraydi yemin ederim  trendyol ,0
" trendyol koleksiyon karsilikli kaydedelimm
    ",0
hani la  da indirim vardi benim favorimdeki urunler 3 katina cikmis,0
"trendyolda indirimler selale 10 20 
banka hesabinda kalan son 3 5 kurus
 ",0
"allah cezami benim trendyoldan bulduruyor gece 3 olmus ben hala trendyol da sepet dolduruyorum 
",0
trendyolda sabah baktigim fiyat indirimden sonraki fiyatindan daha uygun nasil istir bu ,0
 beni senin kadar taciz eden olmadi sal artik,0
yaktin bizi ,0
 indiriminde akmista canim kizim  ,0
dun favorilerime ekledigim uc urune efsane kasim indirimlerinde 10ar tl zam gelmis ,0
saat 0300 ve ben  batagindayim  ,0
 cugum favoriledigim hicbir sey indirime girmemis bu nasil efsane kasim,0
"emndmr56 buyuk indirim dediler telefonlara baktim yaklasik 5060l indirim yapmislar  ben de 300400l bekliyordum  cidden 5060l indirmeselerdi nasil alacaktik acaba 
",0
oguz atay seti indirime girmedikten sonra neye yarar super indirim gunleri ,0
iki saattir trendyol batagindayim ,0
trendyol siparisimden baska bir sey yollamis bunu yazmisim zaten baskalarida bilsin bu saticinin dikkatsiz ve ozensiz oldugunu ona gore davransin diye ama siz dediginiz gibi musterilerinizin yararina degil kandirilmalarina yonelik yorumlari onaylarsiniz ancak ,0
"trendyol uretim ve ticaretimiz paragoz sanatcilarimiz eliyle e bagimli hale getiriliyor
nin buyuk hissedar oldugu dan yaptiginiz 10 tl alisverisin 8 tlsi in kasasina giriyor
yerli uretim ve ticaretimiz cokebilir issizlik artabilir tcsanayi",0
trendyolda aramaya intense keratin yazarak indirimli urunlerimize ulasabilirsiniz             ,0
" batagina dustum cikamiyorum 
maasim super super sarkisini vicdanima soyluyor ",0
 hep mi  boyle iticisin,0
trendyolda indirim var diye bizi kandirdilar gece 0000 bekledim favoriye ekledigim bir tek urun bile indirime girmedi sansima  ,0
trendyol reklam islerine cok para harcadi paranin karsiligina alirsa iyidir  ,0
 allah belani versin yemek yiyecek param kalmadi,0
 indirimi icin favoriye attigim supurge 3700lden 4030lye,0
allahim affet dustuk yine bir bataga  ,0
buyuk indirime bak dun 136 tl ye aldigim 2 urunu bugun 145 liraya alabiliyorum tesekkurler ,0
 da indirim var diye kandirilalim  e dewamke askmesk desen yerlerde  her yerde garibanin yuzu gulur mu  bi guldurun su yuzumuzu artik,0
baslicam indiriminize de firsatiniza da cildiricam en sonunda yaa  youtubeda 4 dakikalik mac ozetinde 3 kez malum sitelerin reklami    ,0
 un  kafasi cok karisik  demligi de 80 pamuk secmeyen ne bilim  ,0
"suraya bir link birakiyorum siddetle tavsiye ediyorum firca gibi kirpik yay gibi kaslarin olacak su an indirimde asla kacirma 

 ",0
"tesekkurler trendyol beni de kandirdin  
",0
 daki indirimi bi ben mi gormuyorum  ya ben cok fakirim ya da harbi indirim diye kazik atiyolar,0
aga bi kulaklik alicam gariban adamim ben salin bi ya  ,0
"30 liralik bir urun 60 liradan 40 liraya dusmus efsane kasim indirimleri

",0
ulan sepetime attigim ayicikli pijamayi  sepetimden aldilar az once napayim oturup sinirden agliyim mi ayicikli pijamami hangi kitapsiz caldi laan allah sizi islah etsin amk ac gozluleri ,0
"nasil da guzel inanmistik ama indirim olacagina 
  ",0
sayin  neden sepetimde indirimleri goster miyorsunuz,0
aynen canim indirim var dun sepete ekledigim urun 36 tl iken  bugun 95 tl ,0
"trendyolda gecen hafta 50 ya da 60 tl olan 6li tabak seti bu 912 kasim super indirim gunleri cilginligi ile 359dan 13990a dusmus ve inanamazsiniz sepette de 50 var 70 filan
dolndiricisiniz 
do lan di ri ci ",0
"dun favoriledigim buyuk indirim olmadigi halde 65 tl olan urun bugun buyuk indirimde 111 tl olmus bikmadiniz insanlari dolandirmaktan usulca favorilerimi geri cekiyorum buyuk indirim bittiginde alirim
trendyol ",0
firsat urunu dediler912kasim dediler heycanla bekledik sonu fiss ciktii  ,0
influencer lar cildirmis durumda ne yapacaklarini sasirmis bi sekilde takipcilere sardilar link eklemekten parmaklari kopacak yeteegeeer  ,0
"bu gozler 260tl ye panduf gordu ben bu parayi pandufa verirsem sokakta da giyerim parasinin hakkini versin  bana ne 
inanilmaz super kasim indirimi evt  hi hi ",0
 iyiki bi indirim yaptik dediniz nerde  indirim pardon,0
385 liraya sepete ekledigim urun 912 kasim indirimi ile 475 liraya cikti tesekkurler ,0
ya bi salin sunlari ogluma alip cikacam ya  ,0
 hadi karsilikli kaydedelim bebisler  ,0
asla indirim olmadigini bile bile dustuk bir bataga ,0
ay bisey sorcam bende kac kisinin kaydettigi gorunmuyo sizde de oyle mi    ,0
 indirim mi yoksa fiyatlara bindirim mi   hava gazi guzel de reklam yaptiniz ama balon ,0
trendyol ara beni acill ,0
arkadaslar allah rizasi icin  dan alan ciksin sepete eklediklerime ulasamiyorum  ,0
az once sepetimden kazagim calindi  resmen  ,0
sizde sikilmadiniz mi  ve  indirim reklamlarindan abi yeter anladik indirim var,0
her yerde  reklami izledigimiz yetmiyordu sanki simdi butun anasayfam dolmus  sikti ama,0
